 ,location,profile_HWD,household_size,heater_type,has_solar,control_type,tariff_type,new_system,old_heater,ID,net_present_cost,payback_period,LCOHW,capital_cost,annual_energy_cost,daily_supply_cost,oandm_cost,others_cost,rebates,disconnection_costs,solar_ratio_real,annual_fit_opp_cost,emissions_total,annual_energy_consumption
1,Sydney,1,2,resistive,FALSE,GS,flat,TRUE,none,1,6633.893726,,0.668900736,1450,629.8362,0,200,,0,0,0,0,1.130776529,1702.26
2,Sydney,1,2,resistive,FALSE,GS,tou,TRUE,none,2,6985.818203,,0.704385558,1450,686.172168,0,200,,0,0,0,0,1.130776529,1702.26
3,Sydney,1,2,resistive,FALSE,CL1,CL,TRUE,none,3,4454.052479,,0.449102714,1450,280.8878472,0,200,,0,0,0,0,1.105637115,1575.72
4,Sydney,1,2,resistive,FALSE,CL2,CL,TRUE,none,4,4571.912753,,0.460990072,1450,299.7548856,0,200,,0,0,0,0,1.138976186,1681.56
5,Sydney,1,2,resistive,FALSE,timer_OP,tou,TRUE,none,5,5318.595984,,0.536279911,1450,419.28372,0,200,,0,0,0,0,1.125043024,1620.72
6,Sydney,1,2,resistive,FALSE,CL3,CL,TRUE,none,6,4538.238389,,0.457593996,1450,294.3643032,0,200,,0,0,0,0,1.064018939,1651.32
7,Sydney,1,2,resistive,TRUE,GS,flat,TRUE,none,7,6210.958562,,0.626255849,1450,562.132862,0,200,,0,0,0.107493564,9.149099731,1.130776529,1702.26
8,Sydney,1,2,resistive,TRUE,GS,tou,TRUE,none,8,6567.749461,,0.662231357,1450,619.2478453,0,200,,0,0,0.107493564,9.149099731,1.130776529,1702.26
9,Sydney,1,2,resistive,TRUE,CL1,CL,TRUE,none,9,4451.302085,,0.448825391,1450,280.4475648,0,200,,0,0,0.001567467,0.123494436,1.105637115,1575.72
10,Sydney,1,2,resistive,TRUE,CL2,CL,TRUE,none,10,4405.149345,,0.444175168,1450,273.0594478,0,200,,0,0,0.089057557,7.487781288,1.138976186,1681.56
11,Sydney,1,2,resistive,TRUE,CL3,CL,TRUE,none,11,4102.454001,,0.413653527,1450,224.6040651,0,200,,0,0,0.236986066,19.5669915,1.064018939,1651.32
12,Sydney,1,2,resistive,TRUE,timer_SS,flat,TRUE,none,12,4769.510976,,0.4809003,1450,331.3863516,0,200,,0,0,0.431535354,33.99506059,0.921638903,1575.54
13,Sydney,1,2,resistive,TRUE,diverter,tou,TRUE,none,13,5013.610683,,0.505521302,2550,194.3740816,0,200,,0,0,0.535790188,44.41148428,1.084887197,1657.793863
14,Sydney,1,2,resistive,TRUE,diverter,CL,TRUE,none,14,4656.341347,,0.46949791,2550,137.1825102,0,200,,0,0,0.535790188,44.41148428,1.084887197,1657.793863
15,Sydney,1,2,heat_pump,FALSE,GS,flat,TRUE,none,15,8073.435261,,0.814032599,5263,249.8936593,0,200,,0,0,0,0,0.443234487,675.3882683
