ID,location,profile_HWD,household_size,heater_type,has_solar,control_type,tariff_type,new_system,old_heater,ID,net_present_cost,payback_period,LCOHW,capital_cost,annual_energy_cost,daily_supply_cost,oandm_cost,others_cost,rebates,disconnection_costs,solar_ratio_real,annual_fit_opp_cost,emissions_total,annual_energy_consumption
1,800,1,2,resistive,FALSE,GS,flat,TRUE,none,1,4667.964847,,0.62203047,1100,371.1587751,0,200,,0,0,0,0,0.96321906,1320.3
2,800,1,2,resistive,FALSE,GS,tou,TRUE,none,2,4942.999042,,0.6586802,1100,415.186169,0,200,,0,0,0,0,0.96321906,1320.3
3,800,1,2,resistive,FALSE,CL1,CL,TRUE,none,3,4353.305661,,0.580099009,1100,320.788224,0,200,,0,0,0,0,0.891150913,1221.12
4,800,1,2,resistive,FALSE,CL2,CL,TRUE,none,4,4491.25295,,0.598481394,1100,342.870786,0,200,,0,0,0,0,0.953271006,1305.18
5,800,1,2,resistive,FALSE,timer_OP,tou,TRUE,none,5,4520.671529,,0.602406225,1100,347.5801035,0,200,,0,0,0,0,0.919336878,1258.74
6,800,1,2,resistive,FALSE,CL3,CL,TRUE,none,6,4455.806109,,0.593759887,1100,337.196466,0,200,,0,0,0,0,0.935832445,1283.58
7,800,1,2,resistive,TRUE,GS,flat,TRUE,none,7,4452.75944,,0.593353236,1100,336.708756,0,200,,0,0,0.092817472,11.18853269,0.96321906,1320.3
8,800,1,2,resistive,TRUE,GS,tou,TRUE,none,8,4694.009926,,0.625501111,1100,375.3280638,0,200,,0,0,0.092817472,11.18853269,0.96321906,1320.3
9,800,1,2,resistive,TRUE,CL1,CL,TRUE,none,9,4353.305661,,0.580099009,1100,320.788224,0,200,,0,0,0,0,0.891150913,1221.12
10,800,1,2,resistive,TRUE,CL2,CL,TRUE,none,10,4368.874314,,0.582173843,1100,323.2804495,0,200,,0,0,0.057136208,6.957664238,0.953271006,1305.18
11,800,1,2,resistive,TRUE,CL3,CL,TRUE,none,11,3930.814013,,0.523801895,1100,253.155884,0,200,,0,0,0.249233282,29.84768292,0.935832445,1283.58
12,800,1,2,resistive,TRUE,timer_SS,flat,TRUE,none,12,3608.77214,,0.48088173,1100,201.6035145,0,200,,0,0,0.414436256,46.34099227,0.895114875,1224.72
13,800,1,2,resistive,TRUE,diverter,tou,TRUE,none,13,4345.954393,,0.579117204,2200,143.523755,0,200,,0,0,0.566130218,66.785876,0.942303307,1292.104124
